time,ElementInt_c,W,grain_tracker,num_precipitates,precipitate_area,strain_e11_aux,strain_e12_aux,strain_e22_aux,stress_s11_aux,stress_s12_aux,stress_s22_aux
0,0,0,36,0,0,0,0,0,0,0,0
0.01,8086.6485999176,298377.67071912,36,2,945.25,2.1061865322759e-08,-4.287049325597e-09,-2.3663788047067e-10,-0.00059173550358947,-8.5740986511939e-09,-0.00059177810059587
0.025,17917.047384303,684925.79637488,36,2,1003.9375,6.0019700560745e-08,-1.1258498228103e-08,-5.9818424250687e-09,-0.0017775356942645,-2.2516996456206e-08,-0.0017776676973505
0.0475,32662.647273557,1265096.6484931,36,2,1063.75,8.8986834055597e-08,-4.9303124193707e-09,5.2371420866454e-12,-0.005249157846033,-9.8606248387413e-09,-0.0052493358092268
0.064375,42800.24724959,1642733.4426113,36,4,1140.3125,1.9184141483475e-07,-7.5841930469869e-09,-1.7784300461189e-09,-0.008818214331199,-1.5168386093974e-08,-0.0088186015708887
0.08125,53552.395965441,1931199.8865434,36,67,3975,3.2460854972852e-07,-8.8687216414983e-09,-8.0132032609305e-10,-0.01370787959414,-1.7737443282997e-08,-0.01370853041388
0.1065625,69968.38141606,1576745.8203044,36,1,61441.25,1.6963945325132e-06,-3.2476440405206e-08,-6.8086691377018e-09,-0.023267541758306,-6.4952880810411e-08,-0.023270948164709
0.125546875,81351.598358542,1188903.8354322,36,1,65476.4375,1.5052671000095e-08,-8.505706490522e-09,-1.1924820282703e-08,-0.031223913932054,-1.7011412981044e-08,-0.031223967887036
0.14453125,93440.398592692,1243550.6739108,36,1,65534.875,4.3696575443091e-09,-1.1494045019921e-08,-1.4411869493918e-08,-0.040962267201491,-2.2988090039843e-08,-0.040962304764545
0.1730078125,111904.3493914,1858336.9184198,36,1,65536,1.2330599300864e-06,-4.1066385421162e-08,-8.2341995268683e-09,-0.058557331460479,-8.2132770842325e-08,-0.058559814048738
0.21572265625,139786.32167363,2970637.745668,3,1,65536,2.731611103768e-06,-6.8654400970065e-08,-7.551025965689e-09,-0.091208111139204,-1.3730880194013e-07,-0.091213589463463
0.279794921875,181713.93106177,4647203.2634415,0,1,65536,1.509934370135e-05,-1.6399825396722e-07,-3.089314615538e-09,-0.15392141007176,-3.2799650793443e-07,-0.15395161493779
0.3759033203125,244664.21128965,7165128.4772835,0,1,65536,2.7386084494315e-05,-2.9943505353595e-07,-4.8060089444376e-09,-0.278849896917,-5.9887010707191e-07,-0.27890467869801
0.52006591796875,339122.75780453,10943470.335899,0,1,65536,5.26561520235e-05,-5.7664070539491e-07,-6.7590514457073e-09,-0.53553402494278,-1.1532814107898e-06,-0.53563935076493
0.73630981445313,480829.23781302,16611729.512537,0,1,65536,0.00012872969100944,-4.126603758176e-06,-1.2249931142432e-09,-1.0763455426979,-8.2532075163521e-06,-1.0766030045299
1.0606756591797,693399.56876626,25114542.750651,0,1,65536,0.000414304737807,-1.3131548643498e-05,3.7259618504686e-09,-2.2377846940459,-2.6263097286997e-05,-2.2386132960696
1.5472244262695,1012261.0969894,37869003.879577,0,1,65536,0.0008625818861663,-2.9966614363302e-05,-5.2536733687394e-10,-4.7690078148418,-5.9933228726605e-05,-4.7707329796649
2.2770475769043,1490556.046492,57000801.859678,0,1,65536,0.0010432554716458,-2.6517952135974e-05,0.00067370211535681,-10.342132746412,-5.3035904271947e-05,-10.342871853124
3.3717823028564,2207999.5634989,85698542.539957,0,1,65536,0.0068840344437543,-0.00023012589945144,0.00031621068058056,-22.681294957634,-0.00046025179890288,-22.69443060516
5.0138843917847,3284166.0172627,128745200.69051,0,1,65536,0.016472633523342,-0.00061235557888062,0.00080811632994891,-50.174860238826,-0.0012247111577612,-50.206189273213
7.477037525177,4898417.8304351,193315273.2174,0,1,65536,0.036727596964925,-0.0013853387361015,0.001841093769702,-111.62108925484,-0.002770677472203,-111.69086226123
11.171767225266,7319795.7657754,290170390.63102,0,1,65536,0.082477868583997,-0.0031059607241016,0.0041203275085967,-249.24703603403,-0.0062119214482031,-249.40375111618
16.713861775398,10951862.80422,435453072.16879,0,1,65536,0.095432126758196,-0.0034151940038803,0.0092020530423421,-558.23402361543,-0.0068303880077607,-558.40648376286
25.027003600597,16399963.407762,653377096.31046,0,1,65536,0.21305628752408,-0.0076687291372452,0.020634531640962,-1251.7772130713,-0.01533745827449,-1252.1620565831
37.496716338396,24572114.347592,980263133.90369,0,1,65536,0.47848884313825,-0.017219340384151,0.046276197826571,-2810.1289762574,-0.034438680768301,-2810.993401548
56.201285445094,36830340.757987,1470592190.3195,0,1,65536,1.0748317320796,-0.038688796107476,0.10396197048622,-6313.2458364029,-0.077377592214952,-6315.1875759261
84.258139105141,55217680.375998,2206085775.0399,0,1,65536,2.4194220789576,-0.087098621052151,0.233670330943,-14190.484514072,-0.1741972421043,-14194.856017568
126.34341959521,82798689.796805,3309326151.8722,0,1,65536,2.9323589104525,-0.091124238690542,0.52551848796802,-31914.659869099,-0.18224847738108,-31919.473549944
189.47134033032,124170203.9339,4964186717.3558,0,1,65536,11.843163955387,-0.46698470923567,9.6311306152508e-10,-71761.243254011,-0.93396941847134,-71784.92958192
284.16322143298,186227475.13493,7446477565.3973,0,1,65536,71.64887948806,-2.918387759552,-1.107710279058e-08,-161279.51934996,-5.836775519104,-161422.81710896
426.20104308696,279313381.91353,11169913836.541,0,1,65536,153.5884037672,-6.1606880634758,5.380010659195e-09,-362829.38318542,-12.321376126952,-363136.55999294
639.25777556795,418942240.10247,16755068164.099,0,1,65536,345.87821255229,-13.874070672675,-2.1663471017064e-09,-816256.60043507,-27.74814134535,-816948.35686018
679.20591290813,456031155.86465,18238624794.586,0,1,65536,410.31103556039,-16.361222476605,1.9730734912571e-07,-967178.83948043,-32.722444953211,-967999.46155116
719.15405024832,485847735.31713,19431287972.685,0,1,65536,377.49987065309,-15.007292034345,-2.5638717460197e-06,-1098051.7578948,-30.01458406869,-1098806.7576412
779.07625625859,527163696.81856,21083926432.742,0,1,65536,545.78857897248,-21.99067324588,1.2845164931719e-09,-1292442.6311113,-43.98134649176,-1293534.2082692
801.54708351245,543373053.02519,21732300681.007,0,1,65536,580.13578835119,-23.403174701168,-3.7067309666128e-08,-1373144.4492855,-46.806349402336,-1374304.7208623
824.0179107663,558593825.98139,22341131599.256,0,1,65536,612.49372691571,-24.735655297323,-4.8949698683298e-08,-1451151.7544541,-49.471310594647,-1452376.7419081
857.72415164708,580961587.04257,23235842041.703,0,1,65536,663.0794514614,-26.788335274713,2.603639308596e-07,-1569693.8146616,-53.576670549426,-1571019.973564
908.28351296825,614252567.01798,24567481240.719,0,1,65536,600.50767967939,-24.706483538677,1.7656006789935e-07,-1755167.4598894,-49.412967077353,-1756368.4752484
984.12255495001,664042414.87603,26559075155.041,0,1,65536,705.08996405441,-27.288806440664,133.72774506282,-2051095.2928541,-54.577612881328,-2052238.0172921
1012.5621956932,684244798.0673,27367170482.692,0,1,65536,917.55239033,-36.827941738146,5.0900215597949e-08,-2177431.3182379,-73.655883476292,-2179266.4230185
1041.0018364363,703404394.41811,28133554336.724,0,1,65536,970.88210846309,-38.914155251817,6.1321284050564e-08,-2301075.7567879,-77.828310503635,-2303017.5210047
1062.3315669937,716283333.11644,28648711884.658,0,1,65536,1008.1095191541,-40.433696918113,-1.7557660214607e-08,-2386105.9159418,-80.867393836226,-2388122.1349802
1083.6612975511,729895414.1706,29193195126.824,0,1,65536,1049.074149589,-42.103561255807,-8.2538420542733e-10,-2477650.7855989,-84.207122511613,-2479748.9338981
1115.6558933871,750657196.22134,30023666408.854,0,1,65536,900.08524800112,-35.879450973421,-4.1327832711602e-08,-2621236.9591622,-71.758901946842,-2623037.1296582
1139.6518402642,765046906.78205,30599254831.282,0,1,65536,934.90450298945,-37.299887994767,3.7684206866118e-08,-2722695.7582732,-74.599775989534,-2724565.5672791
1163.6477871412,780327466.14655,31210477205.862,0,1,65536,972.65548603395,-38.832772843224,2.3986851171998e-08,-2832544.6224647,-77.665545686448,-2834489.9334367
1199.6417074568,803665890.543,32144014181.72,0,1,65536,1031.7994150278,-41.217451527573,9.3862201122619e-08,-3004512.4325472,-82.434903055146,-3006576.0313771
1226.6371476934,819851992.35944,32791458254.378,0,1,65536,1073.8988898517,-42.923080164456,-8.755867364485e-09,-3126754.5897706,-85.846160328912,-3128902.3875503
1253.6325879301,837041847.44757,33479052457.903,0,1,65536,1119.572598073,-44.775726604419,-7.9878017977819e-08,-3259246.1222055,-89.551453208838,-3261485.2674018
1294.1257482851,863297139.42344,34529264136.938,0,1,65536,1191.1693071595,-47.675849328238,3.157613637228e-07,-3466916.0188828,-95.351698656476,-3469298.3574965
1324.4956185514,881506449.54015,35257636541.606,0,1,65536,1242.3547279279,-49.788353886407,4.0413866031486e-08,-3614710.8284851,-99.576707772814,-3617195.5379408
1354.8654888176,900845018.37131,36031179294.852,0,1,65536,1297.9300919583,-52.200303076414,2.1106005299032e-07,-3775048.8241662,-104.40060615283,-3777644.6843497
1377.6428915173,914457888.4588,36575694098.352,0,1,65536,1336.655101067,-54.967505081909,-4.2017479273682e-08,-3890004.457314,-109.93501016382,-3892677.7675162
1400.420294217,928947110.90165,37155262996.066,0,1,65536,749.53509361394,-27.134483300504,261.31066727698,-4015880.3318954,-54.268966601009,-4016856.7807481
1434.5863982665,951091734.73208,38041047949.283,0,1,65536,1111.8496542388,-43.548312519692,-3.6475888887111e-06,-4208922.3125538,-87.096625039384,-4211146.0118696
1460.2109763037,966454805.31013,38655570772.405,0,1,65536,1150.2971653368,-44.980359189772,1.8965202386312e-07,-4345988.0044743,-89.960718379544,-4348288.5988046
1485.8355543408,982771377.81764,39308233672.706,0,1,65536,1190.3580279771,-46.614800992915,1.7418793873958e-07,-4493969.9523969,-93.229601985829,-4496350.6684525
1524.2724213966,1007693190.5899,40305106183.595,0,1,65536,1252.3647074876,-49.165513137864,4.9160554738137e-08,-4724779.8021055,-98.331026275727,-4727284.5315204
1553.1000716883,1024977783.8523,40996489914.091,0,1,65536,1295.9183842041,-51.005696042109,4.9115300271296e-08,-4888254.0703246,-102.01139208422,-4890845.9070929
1581.9277219801,1043334307.5424,41730750861.695,0,1,65536,1342.7389029076,-53.001982176712,-9.9721212620807e-08,-5064911.3224063,-106.00396435342,-5067596.8002123
1625.1691974178,1071371560.4486,42852240977.945,0,1,65536,1415.0878273154,-56.180342825008,4.1970322328666e-07,-5340787.3825507,-112.36068565002,-5343617.5582045
1657.6003039961,1090816754.5728,43630048742.91,0,1,65536,1461.7243754059,-59.829496552925,7.1182189032015e-09,-5536430.9032378,-119.65899310585,-5539354.3519886
1690.0314105744,1111467852.6126,44456092664.503,0,1,65536,1076.9917231577,-38.722157705233,375.08442166159,-5748990.88587,-77.444315410465,-5750394.700473
1738.6780704418,1143009767.1463,45717769245.853,0,1,65536,1610.754447992,-62.985762745996,-3.8848753547427e-08,-6078898.9399586,-125.97152549199,-6082120.4488547
1756.9205678921,1155919058.814,46234140912.559,0,1,65536,1655.1405937837,-64.558475309509,1.6227842536409e-07,-6216962.6090739,-129.11695061902,-6220272.8902611
1775.1630653423,1168192424.8116,46725075552.466,0,1,65536,1185.5095779541,-45.12870219021,9.9102147288477e-07,-6351199.8516377,-90.25740438042,-6353570.8707916
1802.5268115178,1186304383.6188,47449553904.752,0,1,65536,1223.3795800877,-46.718622851926,1.4920027524568e-07,-6549665.3984307,-93.437245703852,-6552112.1575906
1843.5724307809,1213304646.1108,48529564404.432,0,1,65536,1279.9063435259,-48.979993163313,1.8705146942466e-07,-6851198.1092904,-97.959986326626,-6853757.9219771
1874.3566452282,1231810736.0056,49269808000.224,0,1,65536,1319.4505472635,-50.553460495212,-1.4416401228345e-07,-7061788.997596,-101.10692099042,-7064427.8986908
1905.1408596756,1251429261.1588,50054549006.353,0,1,65536,1361.9974209272,-52.22306907099,1.7341932334602e-09,-7288519.9241692,-104.44613814198,-7291243.919011
1951.3171813466,1281378502.9069,51252518676.274,0,1,65536,1428.1611500142,-54.787963639199,7.7482866345235e-08,-7641551.9318402,-109.5759272784,-7644408.2541401
1985.9494225998,1302144597.3428,52083162453.71,0,1,65536,1475.0452801936,-56.606677527744,1.8301005866306e-07,-7891237.0917535,-113.21335505549,-7894187.1823135
2020.5816638531,1324197685.9097,52965285996.39,0,1,65536,1525.6989825778,-58.565116372078,-2.1973169239686e-07,-8160791.3006272,-117.13023274416,-8163842.6985928
2046.555844793,1339721151.3839,53586224615.356,0,1,65536,1562.0224669414,-59.969135769475,2.1537982064501e-07,-8353248.416231,-119.93827153895,-8356372.4611645
2072.530025733,1356243932.6959,54247135867.835,0,1,65536,1601.2504659934,-61.480523634878,4.6001446207811e-08,-8560558.814634,-122.96104726976,-8563761.3155659
2111.4912971429,1381496533.9453,55257239917.811,0,1,65536,1662.0993712263,-63.8175104212,6.3714296061335e-09,-8882311.5170774,-127.6350208424,-8885635.7158199
2140.7122507003,1399015792.2048,55958010248.19,0,1,65536,1705.530540659,-65.479360773161,-1.7178564348796e-08,-9109016.5411785,-130.95872154632,-9112427.6022598
2169.9332042578,1417622374.3536,56702273534.146,0,1,65536,1752.8563964783,-67.283126729639,-3.2881999345591e-08,-9352918.374974,-134.56625345928,-9356424.087767
2213.7646345939,1446041930.6905,57839055787.618,0,1,65536,1827.013529839,-70.093217502722,1.7629193393986e-07,-9731670.0071609,-140.18643500544,-9735324.0342202
2246.638207346,1465752393.7334,58627474309.335,0,1,65536,1885.089342128,-72.222021527966,-6.2356813614883e-06,-9998751.8981816,-144.44404305593,-10002522.076878
2279.5117800982,1486685231.1584,59464787806.337,0,1,65536,1118.3944513722,-40.238182028904,4.1313954994848e-06,-10288844.14772,-80.476364057807,-10291080.936614
2328.8221392263,1518657475.3076,60743677572.306,0,1,65536,1166.9110589022,-41.990340282563,-1.2271720208901e-06,-10736141.123729,-83.980680565126,-10738474.945849
2365.8049085725,1540831776.6121,61630649624.482,0,1,65536,1201.4303700411,-43.237091513369,-1.6934382074396e-07,-11051951.666341,-86.474183026738,-11054354.527082
2402.7876779186,1564381228.8579,62572627714.315,0,1,65536,1238.953170065,-44.582693369437,2.7600570717823e-08,-11392358.875372,-89.165386738874,-11394836.781712
2458.2618319378,1600350009.2318,64011378929.271,0,1,65536,1297.3614468524,-46.676506700949,-3.2157333151872e-07,-11922252.985185,-93.353013401898,-11924847.70808
2499.8674474522,1625296098.9159,65009222516.635,0,1,65536,1339.3509377066,-48.173846357504,7.1875901141993e-07,-12296831.881999,-96.347692715008,-12299510.583873
2541.4730629666,1651789232.9337,66068947877.35,0,1,65536,1385.4578872421,-49.812654660113,3.2590044440894e-08,-12700981.905631,-99.625309320226,-12703752.821405
2572.6772746024,1670438368.7883,66814913311.532,0,1,65536,1420.9366918457,-51.044365293761,1.742736799315e-07,-12989383.714399,-102.08873058752,-12992225.587782
2603.8814862382,1690288075.5021,67608901580.083,0,1,65536,1465.1288560653,-52.522872504424,1.2280112571261e-07,-13299891.148258,-105.04574500885,-13302821.40597
2650.6878036919,1720625403.18,68822394687.2,0,1,65536,422.76729291145,-9.1065489036076,-9.0296764199138e-07,-13784875.219288,-18.213097807215,-13785720.753875
2720.8972798725,1766447951.4326,70655296617.302,0,1,65536,441.969798087,-9.1326773962793,-3.6703233163848e-07,-14528881.889983,-18.265354792559,-14529765.82958
2826.2114941433,1835359836.8101,73411772032.403,0,1,65536,152.16326448954,0.5895869522972,-4.3013621109367e-08,-15685556.922755,1.1791739045944,-15685861.249284
2984.1828155495,1938827825.8223,77550491592.893,0,1,65536,4.7959480398152e-07,-7.4056788438442e-07,6.8036259365245e-07,-17504456.165166,-1.4811357687688e-06,-17504456.165166
3221.1397976589,2094086142.1801,83760824247.206,0,1,65536,2889.7687375196,-22.711641963624,1354.7015419583,-20410139.726461,-45.423283927248,-20413209.860852
3398.8575342409,2200845239.5051,88031188140.203,0,1,65536,889.65384050002,-4.7406336063817,389.45189863497,-22552269.413003,-9.4812672127633,-22553269.816887
3576.5752708229,2314077663.6273,92560485105.094,0,1,65536,338.13558609488,-0.33501739742286,108.52834156342,-24934831.470357,-0.67003479484572,-24935290.684846
3843.1518756959,2486960664.7574,99475805150.296,0,1,65536,-9.7081057082171e-10,-1.2859206398319e-07,-1.0722713550404e-08,-28801026.512174,-2.5718412796638e-07,-28801026.512174
